yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2019,SFN,NL,abadfe01,21,0,18,21,21,0,0,0,0,0,0,0,0,0,0,0,0
2019,HOU,AL,abreubr01,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2019,CHA,AL,abreujo02,159,159,159,125,0,0,125,0,0,0,0,0,0,0,34,0,0
2019,ATL,NL,acunaro01,156,154,156,156,0,0,0,0,0,0,46,100,35,156,0,2,0
2019,SFN,NL,adamecr01,10,5,10,7,0,0,0,4,3,0,0,0,0,0,0,4,1
2019,TBA,AL,adamewi01,152,145,152,152,0,0,0,0,0,152,0,0,0,0,0,2,0
2019,TOR,AL,adamja01,23,0,3,23,23,0,0,0,0,0,0,0,0,0,0,0,0
2019,DET,AL,adamsau01,13,0,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIN,AL,adamsau01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2019,SEA,AL,adamsau02,29,2,3,29,29,0,0,0,0,0,0,0,0,0,0,0,0
2019,WAS,NL,adamsau02,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,NYA,AL,adamsch01,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2019,WAS,NL,adamsma01,111,71,111,79,0,0,79,0,0,0,0,0,0,0,0,33,1
2019,CHN,NL,adducji02,2,1,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0
2019,MIN,AL,adriaeh01,84,54,83,78,1,0,20,7,24,24,1,0,6,7,0,11,8
2019,PIT,NL,agrazda01,15,14,14,15,15,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIL,NL,aguilje01,94,52,94,61,0,0,60,0,2,0,0,0,0,0,0,35,0
2019,TBA,AL,aguilje01,37,26,37,15,0,0,15,0,0,0,0,0,0,0,13,9,0
2019,ARI,NL,ahmedni01,158,155,158,158,0,0,0,0,0,158,0,0,0,0,0,2,0
2019,CIN,NL,alanirj01,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2019,SEA,AL,alanirj01,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2019,BAL,AL,alberha01,139,127,139,132,1,0,0,90,66,0,3,0,1,4,1,7,2
2019,MIL,NL,alberma01,67,0,63,67,67,0,0,0,0,0,0,0,0,0,0,0,0
2019,ATL,NL,albieoz01,160,157,160,158,0,0,0,158,0,0,0,0,0,0,0,2,0
2019,MIN,AL,alcaljo01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIA,NL,alcansa01,32,32,31,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2019,DET,AL,alcanvi01,46,0,7,46,46,0,0,0,0,0,0,0,0,0,0,0,0
2019,LAN,NL,alexasc01,28,0,27,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2019,DET,AL,alexaty01,13,8,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIA,NL,alfarjo01,130,113,130,119,0,118,1,0,0,0,0,0,0,0,1,14,0
2019,TOR,AL,alforan01,16,5,16,13,0,0,0,0,0,0,6,2,5,13,2,5,3
2019,TEX,AL,allarko01,9,9,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2019,SDN,NL,allenau01,34,14,34,21,0,19,2,0,0,0,0,0,0,0,0,17,0
2019,LAA,AL,allenco01,25,0,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2019,CLE,AL,allengr01,89,58,89,84,0,0,0,0,0,0,60,18,13,84,0,17,5
2019,CLE,AL,allenlo01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,SDN,NL,allenlo01,8,4,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2019,ARI,NL,almonab01,17,7,17,12,0,0,0,0,0,0,0,3,9,12,0,6,1
2019,COL,NL,almonye01,28,0,27,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2019,CHN,NL,almoral01,130,80,130,125,0,0,0,0,0,0,0,125,0,125,0,21,1
2019,NYN,NL,alonspe01,161,153,161,156,0,0,156,0,0,0,0,0,0,0,1,7,0
2019,CHA,AL,alonsyo01,67,61,67,21,0,0,21,0,0,0,0,0,0,0,42,6,0
2019,COL,NL,alonsyo01,54,10,54,11,0,0,11,0,0,0,0,0,0,0,0,43,0
2019,SEA,AL,altavda01,17,0,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0
2019,NYN,NL,altheaa01,26,5,26,20,0,0,0,0,0,0,13,8,2,20,0,9,4
2019,PHI,NL,altheaa01,22,3,22,12,1,0,0,0,0,0,1,8,4,11,0,11,3
2019,SFN,NL,altheaa01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019,HOU,AL,altuvjo01,124,121,124,121,0,0,0,121,0,1,0,0,0,0,2,2,0
2019,PHI,NL,alvarjo02,67,1,62,67,67,0,0,0,0,0,0,0,0,0,0,0,0
2019,TBA,AL,alvarjo03,35,1,4,35,35,0,0,0,0,0,0,0,0,0,0,0,0
2019,HOU,AL,alvaryo01,87,83,87,10,0,0,0,0,0,0,10,0,0,10,74,4,0
2019,CHN,NL,alzolad01,4,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2019,OAK,AL,anderbr04,31,31,3,31,31,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIA,NL,anderbr06,126,120,126,119,0,0,0,0,67,0,0,0,55,55,1,6,0
2019,MIL,NL,anderch01,33,27,31,32,32,0,0,0,0,0,0,0,0,0,0,0,1
2019,CLE,AL,anderco01,5,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2019,PHI,NL,anderdr02,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2019,LAA,AL,anderju01,54,0,5,54,54,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIA,NL,anderni01,45,0,41,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2019,TBA,AL,anderni01,23,0,3,23,23,0,0,0,0,0,0,0,0,0,0,0,0
2019,SFN,NL,andersh01,28,16,25,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2019,OAK,AL,anderta01,6,5,1,5,5,0,0,0,0,0,0,0,0,0,0,1,0
2019,CHA,AL,anderti01,123,122,123,122,0,0,0,0,0,122,0,0,0,0,1,0,1
2019,COL,NL,anderty01,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2019,ARI,NL,andrima01,54,0,51,54,54,0,0,0,0,0,0,0,0,0,0,0,0
