playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
willine01,1881,1,CHN,NL,3B,76,,2019,117,194,31,10,,,,,
--
mackco01,1888,1,WS8,NL,C,79,,2019,361,152,47,8,48,,0,0,
--
freembu01,1900,1,BSN,NL,OF,91,,2019,130,3,7,1,,,,,
--
delahji01,1908,1,WS1,AL,2B,80,79,2019,181,232,16,25,,,,,
--
carrema01,1992,1,DET,AL,OF,83,77,2019,178,5,4,2,,,,,
--
clarkbr02,2003,1,MIL,NL,OF,105,69,2019,174,5,5,3,,,,,
--
floreje02,2008,1,WAS,NL,C,82,78,2019,474,29,5,6,7,,47,17,
--
maldoma01,2018,1,LAA,AL,C,77,77,2019,674,33,4,4,10,,15,12,
--
abadfe01,2019,1,SFN,NL,P,21,0,39,0,0,0,0,,,,,
abreubr01,2019,1,HOU,AL,P,7,0,26,2,2,0,0,,,,,
abreujo02,2019,1,CHA,AL,1B,125,125,3311,1012,74,8,128,,,,,
acunaro01,2019,1,ATL,NL,OF,156,154,4092,325,10,3,1,,,,,
adamecr01,2019,1,SFN,NL,2B,4,3,78,4,2,0,0,,,,,
adamecr01,2019,1,SFN,NL,3B,3,2,60,3,6,0,2,,,,,
adamewi01,2019,1,TBA,AL,SS,152,145,3944,157,388,17,68,,,,,
adamja01,2019,1,TOR,AL,P,23,0,65,3,2,1,1,,,,,
adamsau01,2019,1,MIN,AL,P,2,0,8,0,0,0,0,,,,,
adamsau01,2019,2,DET,AL,P,13,0,42,1,3,0,0,,,,,
adamsau02,2019,1,WAS,NL,P,1,0,3,0,0,0,0,,,,,
adamsau02,2019,2,SEA,AL,P,29,2,93,2,1,1,1,,,,,
adamsch01,2019,1,NYA,AL,P,13,0,76,0,2,0,0,,,,,
adamsma01,2019,1,WAS,NL,1B,79,71,1831,502,51,5,40,,,,,
adducji02,2019,1,CHN,NL,OF,1,1,24,5,0,0,0,,,,,
adriaeh01,2019,1,MIN,AL,1B,20,12,356,92,8,1,11,,,,,
adriaeh01,2019,1,MIN,AL,2B,7,7,177,9,21,0,8,,,,,
adriaeh01,2019,1,MIN,AL,3B,24,14,445,14,28,2,2,,,,,
adriaeh01,2019,1,MIN,AL,OF,7,5,118,3,1,2,0,,,,,
adriaeh01,2019,1,MIN,AL,P,1,0,3,0,0,0,0,,,,,
adriaeh01,2019,1,MIN,AL,SS,24,16,456,17,54,3,10,,,,,
agrazda01,2019,1,PIT,NL,P,15,14,220,5,6,1,1,,,,,
aguilje01,2019,1,MIL,NL,1B,60,52,1396,405,35,4,38,,,,,
aguilje01,2019,1,MIL,NL,3B,2,0,8,0,0,0,0,,,,,
aguilje01,2019,2,TBA,AL,1B,15,13,339,99,7,0,11,,,,,
ahmedni01,2019,1,ARI,NL,SS,158,155,4143,207,412,13,79,,,,,
alanirj01,2019,1,SEA,AL,P,4,0,12,0,1,0,0,,,,,
alanirj01,2019,2,CIN,NL,P,8,0,35,2,1,1,0,,,,,
alberha01,2019,1,BAL,AL,2B,90,66,1837,119,169,3,59,,,,,
alberha01,2019,1,BAL,AL,3B,66,58,1424,54,115,7,14,,,,,
alberha01,2019,1,BAL,AL,OF,4,2,46,6,0,0,0,,,,,
alberha01,2019,1,BAL,AL,P,1,0,3,0,0,0,0,,,,,
alberma01,2019,1,MIL,NL,P,67,0,179,2,4,0,0,,,,,
albieoz01,2019,1,ATL,NL,2B,158,157,4215,273,384,4,117,,,,,
alcaljo01,2019,1,MIN,AL,P,2,0,5,0,0,0,0,,,,,
alcansa01,2019,1,MIA,NL,P,32,32,592,10,20,4,0,,,,,
alcanvi01,2019,1,DET,AL,P,46,0,128,2,6,1,0,,,,,
alexasc01,2019,1,LAN,NL,P,28,0,52,2,3,1,0,,,,,
alexaty01,2019,1,DET,AL,P,13,8,161,2,2,0,0,,,,,
alfarjo01,2019,1,MIA,NL,1B,1,0,3,0,0,0,0,,,,,
alfarjo01,2019,1,MIA,NL,C,118,112,2919,930,55,11,8,11,,33,16,
alforan01,2019,1,TOR,AL,OF,13,5,189,17,0,1,1,,,,,
allarko01,2019,1,TEX,AL,P,9,9,136,2,0,2,0,,,,,
allenau01,2019,1,SDN,NL,1B,2,0,15,5,1,0,3,,,,,
allenau01,2019,1,SDN,NL,C,19,14,384,126,10,1,0,3,,8,1,
allenco01,2019,1,LAA,AL,P,25,0,69,0,0,0,0,,,,,
allengr01,2019,1,CLE,AL,OF,84,58,1711,125,7,2,0,,,,,
allenlo01,2019,1,SDN,NL,P,8,4,76,1,7,0,1,,,,,
allenlo01,2019,2,CLE,AL,P,1,0,7,0,0,0,0,,,,,
almonab01,2019,1,ARI,NL,OF,12,7,201,16,1,1,0,,,,,
