playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
oleartr01,1995,1,BOS,AL,RF,91,79,2019,157,5,4,1,,,,,
--
acunaro01,2019,1,ATL,NL,CF,100,95,2493,206,3,3,0,,,,,
acunaro01,2019,1,ATL,NL,LF,46,40,1000,77,3,0,1,,,,,
acunaro01,2019,1,ATL,NL,RF,35,19,599,42,4,0,0,,,,,
adducji02,2019,1,CHN,NL,RF,1,1,24,5,0,0,0,,,,,
adriaeh01,2019,1,MIN,AL,LF,1,0,3,0,0,0,0,,,,,
adriaeh01,2019,1,MIN,AL,RF,6,5,115,3,1,2,0,,,,,
alberha01,2019,1,BAL,AL,LF,3,1,22,2,0,0,0,,,,,
alberha01,2019,1,BAL,AL,RF,1,1,24,4,0,0,0,,,,,
alforan01,2019,1,TOR,AL,CF,2,2,54,6,0,0,0,,,,,
alforan01,2019,1,TOR,AL,LF,6,3,78,4,0,0,0,,,,,
alforan01,2019,1,TOR,AL,RF,5,0,57,7,0,1,1,,,,,
allengr01,2019,1,CLE,AL,CF,18,15,398,28,1,0,0,,,,,
allengr01,2019,1,CLE,AL,LF,60,35,1082,86,5,1,0,,,,,
allengr01,2019,1,CLE,AL,RF,13,8,231,11,1,1,0,,,,,
almonab01,2019,1,ARI,NL,CF,3,1,39,1,0,0,0,,,,,
almonab01,2019,1,ARI,NL,RF,9,6,162,15,1,1,0,,,,,
almoral01,2019,1,CHN,NL,CF,125,80,2296,201,3,3,0,,,,,
altheaa01,2019,1,PHI,NL,CF,8,3,95,10,0,0,0,,,,,
altheaa01,2019,1,PHI,NL,LF,1,0,20,1,0,0,0,,,,,
altheaa01,2019,1,PHI,NL,RF,4,0,33,4,0,1,0,,,,,
altheaa01,2019,3,NYN,NL,CF,8,1,61,8,0,0,0,,,,,
altheaa01,2019,3,NYN,NL,LF,13,3,122,9,0,0,0,,,,,
altheaa01,2019,3,NYN,NL,RF,2,1,51,4,0,0,0,,,,,
alvaryo01,2019,1,HOU,AL,LF,10,9,198,9,1,1,0,,,,,
anderbr06,2019,1,MIA,NL,RF,55,55,1373,97,9,3,1,,,,,
aquinar01,2019,1,CIN,NL,RF,54,53,1393,97,3,2,0,,,,,
arozara01,2019,1,SLN,NL,CF,5,4,92,7,1,0,0,,,,,
arozara01,2019,1,SLN,NL,LF,1,0,10,0,0,0,0,,,,,
arozara01,2019,1,SLN,NL,RF,6,0,29,4,0,0,0,,,,,
