:(batters)DONT CHANGE,lineup# DONT CHANGE,Name,Stance,BA,HR,Contact,Power,Speed,FieldingPos,Switch,,,
31,0,O.Albies,0,295,24,13,838,133,1,1,,,
31,1,Freeman,1,295,38,13,913,124,1,0,,,
31,2,Donaldso,0,259,37,19,905,122,1,0,,,
31,3,R.Acuna,0,280,41,16,925,141,2,0,,,
31,4,A.Duvall,0,267,10,18,777,120,2,0,,,
31,5,M.Joyce,1,295,7,13,748,120,2,0,,,
31,6,Markakis,1,285,9,15,754,123,2,0,,,
31,7,A.Riley,0,226,18,24,805,120,2,0,,,
31,8,Swanson,0,251,17,20,794,126,1,0,,,
31,9,Inciarte,1,246,5,21,730,126,2,0,,,
31,10,B.McCann,1,249,12,21,767,120,0,0,,,
31,11,Flowers,0,229,11,24,763,122,0,0,,,
31,12,Culberso,0,259,5,19,736,120,2,0,,,
31,13,Camargo,0,233,7,23,740,122,1,1,,,
32,0,J.Baez,0,281,29,15,867,125,1,0,,,
32,1,Castella,0,321,16,8,815,120,2,0,,,
32,2,A.Rizzo,1,293,27,13,856,124,1,0,,,
32,3,Schwarbe,1,250,38,21,911,122,2,0,,,
32,4,K.Bryant,0,282,31,15,876,124,1,0,,,
32,5,I.Happ,0,264,11,18,781,122,2,1,,,
32,6,Contrera,0,272,24,17,842,121,0,0,,,
32,7,Caratini,0,266,11,18,767,121,0,1,,,
32,8,D.Bote,0,257,11,19,764,123,1,0,,,
32,9,Heyward,1,251,21,20,814,126,2,0,,,
32,10,Russell,0,237,9,23,750,122,1,0,,,
32,11,Zobrist,0,260,1,19,710,120,1,1,,,
32,12,A.Almora,0,236,12,23,764,122,2,0,,,
32,13,Descalso,1,173,2,31,715,122,1,0,,,
33,0,J.Dyson,1,230,7,24,740,140,2,0,,,
33,1,K.Marte,0,329,32,6,888,131,2,1,,,
33,2,W.Flores,0,317,9,9,763,120,1,0,,,
33,3,Escobar,0,269,35,17,894,128,1,1,,,
33,4,C.Kelly,0,245,18,21,806,120,0,0,,,
33,5,C.Walker,0,259,29,19,860,126,1,0,,,
33,6,Peralta,1,275,12,16,774,122,2,0,,,
33,7,A.Avila,1,207,9,27,754,121,0,0,,,
