00	1.38
01	1.49
02	1.51
03	1.70
04	1.72
05	1.74
06	1.78
07	1.81
08	1.82
09	1.83
0A 	1.87
0B 	1.94
0C 	1.98
0D 	2.00
0E 	2.04
0F 	2.10
10	2.14
11	2.15
12	2.21
13	2.24
14	2.29
15	2.39
16	2.43
17	2.44
18	2.45
19	2.47
1A 	2.55
1B 	2.56
1C 	2.57
1D 	2.58
1E 	2.63
1F 	2.65
20	2.66
21	2.67
22	2.69
23	2.70
24	2.71
25	2.72
26	2.75
27	2.76
28	2.79
29	2.82
2A 	2.83
2B 	2.85
2C 	2.86
2D 	2.87
2E 	2.88
2F 	2.91
30	2.93
31	2.94
32	2.95
33	2.97
34	3.03
35	3.06
36	3.10
37	3.11
38	3.12
39	3.13
3A 	3.17
3B 	3.20
3C 	3.22
3D 	3.23
3E 	3.25
3F 	3.26
40	3.28
41	3.30
42	3.32
43	3.33
44	3.36
45	3.37
46	3.38
47	3.39
48	3.42
49	3.43
4A 	3.44
4B 	3.46
4C 	3.47
4D 	3.58
4E 	3.50
4F 	3.52
50	3.53
51	3.54
52	3.56
53	3.57
54	3.59
55	3.60
56	3.61
57	3.64
58	3.65
59	3.66
5A 	3.67
5B 	3.70
5C 	3.71
5D 	3.72
5E 	3.73
5F 	3.74
60	3.77
61	3.78
62	3.79
63	3.81
64	3.83
65	3.84
66	3.86
67	3.87
68	3.88
69	3.90
6A 	3.93
6B 	3.94
6C 	3.98
6D 	3.99
6E 	4.00
6F 	4.02
70	4.03
71	4.04
72	4.05
73	4.06
74	4.07
75	4.10
76	4.11
77	4.13
78	4.14
79	4.15
7A 	4.17
7B 	4.18
7C 	4.19
7D 	4.20
7E 	4.21
7F 	4.22
80	4.23
81	4.24
82	4.26
83	4.27
84	4.28
85	4.34
86	4.40
87	4.41
88	4.42
89	4.43
8A 	4.45
8B 	4.46
8C 	4.48
8D 	4.49
8E 	4.50
8F 	4.51
90	4.52
91	4.53
92	4.54
93	4.55
94	4.57
95	4.58
96	4.59
97	4.61
98	4.63
99	4.64
9A 	4.69
9B 	4.70
9C 	4.71
9D 	4.73
9E 	4.74
9F 	4.76
A0 	4.83
A1 	4.85
A2 	4.86
A3 	4.89
A4 	4.90
A5 	4.92
A6 	4.94
A7 	4.97
A8 	5.01
A9 	5.04
AA 	5.05
AB 	5.07
AC 	5.09
AD 	5.10
AE 	5.11
AF 	5.16
B0 	5.21
B1 	5.23
B2 	5.24
B3 	5.26
B4 	5.33
B5 	5.35
B6 	5.36
B7 	5.37
B8 	5.46
B9 	5.52
BA 	5.56
BB 	5.59
BC 	5.62
BD 	5.66
BE 	5.68
BF 	5.70
C0 	5.80
C1 	5.89
C2 	5.90
C3 	5.93
C4 	6.04
C5 	6.11
C6 	6.17
C7 	6.18
C8 	6.27
C9 	6.43
CA 	6.47
CB 	6.59
CC 	6.75
CD 	6.99
CE 	7.44
CF 	7.76
